MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Land Contour,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Fence,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,House Age,Remodel Age,Was Remodeled
20,190810.50749559083,141.0,31770,3,178309.4876472824,177751.95866141733,3,145097.34988713317,183601.24612941642,180228.34979281767,184355.61983471076,178696.39527027027,6,5,1960,1960,226018.87385740402,179915.26421636617,187803.0340909091,164015.44525547445,261575.92276422764,112.0,3,3,148284.15353697748,3,4,0.0,0.0,639.0,0.0,0.0,441.0,1080.0,181204.96805555557,2,0.0,186200.11090365946,1656,0,0,1656,1.0,0.0,1,0,3,1,3,7,182981.7087770841,2,4,203176.59119861032,1960.0,0.0,2.0,528.0,3,3,0.0,210,62,0,0,0,0,0.0,0,5,2010,173907.60378847673,175327.41417910447,215000,50,50,0
20,136419.77777777778,80.0,11622,4,178309.4876472824,177388.57623947616,3,145097.34988713317,142498.90184049078,180228.34979281767,184355.61983471076,178696.39527027027,5,6,1961,1961,170059.83362068966,179915.26421636617,217183.18323586744,217126.56354679802,155030.12570462233,0.0,3,3,148284.15353697748,3,3,0.0,0.0,468.0,0.0,144.0,270.0,882.0,181204.96805555557,3,0.0,186200.11090365946,896,0,0,896,0.0,0.0,1,0,2,1,3,5,182981.7087770841,0,0,203176.59119861032,1961.0,0.0,1.0,730.0,3,3,0.0,140,0,0,0,120,0,0.0,0,6,2010,173907.60378847673,175327.41417910447,105000,49,49,0
20,190810.50749559083,81.0,14267,3,178309.4876472824,177751.95866141733,3,145097.34988713317,183601.24612941642,180228.34979281767,184355.61983471076,178696.39527027027,6,6,1958,1958,226018.87385740402,179915.26421636617,145538.83054892602,146944.33753148615,210179.47781569965,108.0,3,3,148284.15353697748,3,3,0.0,0.0,923.0,0.0,0.0,406.0,1329.0,181204.96805555557,3,0.0,186200.11090365946,1329,0,0,1329,0.0,0.0,1,1,3,1,4,6,182981.7087770841,0,0,203176.59119861032,1958.0,0.0,1.0,312.0,3,3,0.0,393,36,0,0,0,0,0.0,12500,6,2010,173907.60378847673,175327.41417910447,172000,52,52,0
20,190810.50749559083,93.0,11160,4,178309.4876472824,177751.95866141733,3,145097.34988713317,183601.24612941642,180228.34979281767,184355.61983471076,178696.39527027027,7,5,1968,1968,226018.87385740402,179915.26421636617,187803.0340909091,188160.63829787233,155030.12570462233,0.0,4,3,148284.15353697748,3,3,0.0,0.0,1065.0,0.0,0.0,1045.0,2110.0,181204.96805555557,5,0.0,186200.11090365946,2110,0,0,2110,1.0,0.0,2,1,3,1,5,8,182981.7087770841,2,3,203176.59119861032,1968.0,0.0,2.0,522.0,3,3,0.0,0,0,0,0,0,0,0.0,0,4,2010,173907.60378847673,175327.41417910447,244000,42,42,0
60,190810.50749559083,74.0,13830,3,178309.4876472824,177388.57623947616,3,190646.57575757575,183601.24612941642,180228.34979281767,184355.61983471076,205820.0909090909,5,5,1997,1998,170059.83362068966,179915.26421636617,217183.18323586744,217126.56354679802,155030.12570462233,0.0,3,3,226384.9992337165,4,3,0.0,0.0,791.0,0.0,0.0,137.0,928.0,181204.96805555557,4,0.0,186200.11090365946,928,701,0,1629,0.0,0.0,2,1,3,1,3,6,182981.7087770841,1,3,203176.59119861032,1997.0,0.0,2.0,482.0,3,3,0.0,212,34,0,0,0,0,0.0,0,3,2010,173907.60378847673,175327.41417910447,189900,13,12,1
60,190810.50749559083,78.0,9978,3,178309.4876472824,177388.57623947616,3,190646.57575757575,183601.24612941642,180228.34979281767,184355.61983471076,205820.0909090909,6,6,1998,1998,170059.83362068966,179915.26421636617,217183.18323586744,217126.56354679802,210179.47781569965,20.0,3,3,226384.9992337165,3,3,0.0,0.0,602.0,0.0,0.0,324.0,926.0,181204.96805555557,5,0.0,186200.11090365946,926,678,0,1604,0.0,0.0,2,1,3,1,4,7,182981.7087770841,1,4,203176.59119861032,1998.0,0.0,2.0,470.0,3,3,0.0,360,36,0,0,0,0,0.0,0,6,2010,173907.60378847673,175327.41417910447,195500,12,12,0
120,190810.50749559083,41.0,4920,4,178309.4876472824,177388.57623947616,3,324229.1960784314,183601.24612941642,180228.34979281767,192311.91416309014,178696.39527027027,8,5,2001,2001,170059.83362068966,179915.26421636617,235143.1935483871,234018.1935483871,155030.12570462233,0.0,4,3,226384.9992337165,4,3,0.0,0.0,616.0,0.0,0.0,722.0,1338.0,181204.96805555557,5,0.0,186200.11090365946,1338,0,0,1338,1.0,0.0,2,0,2,1,4,6,182981.7087770841,0,0,203176.59119861032,2001.0,0.0,2.0,582.0,3,3,0.0,0,0,170,0,0,0,0.0,0,4,2010,173907.60378847673,175327.41417910447,213500,9,9,0
120,190810.50749559083,43.0,5005,3,253924.525,177388.57623947616,3,324229.1960784314,183601.24612941642,180228.34979281767,192311.91416309014,178696.39527027027,8,5,1992,1992,170059.83362068966,179915.26421636617,159525.73015873015,160273.85925925925,155030.12570462233,0.0,4,3,226384.9992337165,4,3,0.0,0.0,263.0,0.0,0.0,1017.0,1280.0,181204.96805555557,5,0.0,186200.11090365946,1280,0,0,1280,0.0,0.0,2,0,2,1,4,5,182981.7087770841,0,0,203176.59119861032,1992.0,0.0,2.0,506.0,3,3,0.0,0,82,0,0,144,0,0.0,0,1,2010,173907.60378847673,175327.41417910447,191500,18,18,0
120,190810.50749559083,39.0,5389,3,178309.4876472824,177388.57623947616,3,324229.1960784314,183601.24612941642,180228.34979281767,192311.91416309014,178696.39527027027,8,5,1995,1996,170059.83362068966,179915.26421636617,235143.1935483871,234018.1935483871,155030.12570462233,0.0,4,3,226384.9992337165,4,3,0.0,0.0,1180.0,0.0,0.0,415.0,1595.0,181204.96805555557,5,0.0,186200.11090365946,1616,0,0,1616,1.0,0.0,2,0,2,1,4,5,182981.7087770841,1,3,203176.59119861032,1995.0,0.0,2.0,608.0,3,3,0.0,237,152,0,0,0,0,0.0,0,3,2010,173907.60378847673,175327.41417910447,236500,15,14,1
60,190810.50749559083,60.0,7500,4,178309.4876472824,177388.57623947616,3,190646.57575757575,183601.24612941642,180228.34979281767,184355.61983471076,205820.0909090909,7,5,1999,1999,170059.83362068966,179915.26421636617,217183.18323586744,217126.56354679802,155030.12570462233,0.0,3,3,226384.9992337165,3,3,0.0,0.0,0.0,0.0,0.0,994.0,994.0,181204.96805555557,4,0.0,186200.11090365946,1028,776,0,1804,0.0,0.0,2,1,3,1,4,7,182981.7087770841,1,3,203176.59119861032,1999.0,0.0,2.0,442.0,3,3,0.0,140,60,0,0,0,0,0.0,0,6,2010,173907.60378847673,175327.41417910447,189000,11,11,0
60,190810.50749559083,75.0,10000,3,178309.4876472824,177751.95866141733,3,190646.57575757575,183601.24612941642,180228.34979281767,184355.61983471076,205820.0909090909,6,5,1993,1994,170059.83362068966,179915.26421636617,159525.73015873015,160273.85925925925,155030.12570462233,0.0,3,3,226384.9992337165,4,3,0.0,0.0,0.0,0.0,0.0,763.0,763.0,181204.96805555557,4,0.0,186200.11090365946,763,892,0,1655,0.0,0.0,2,1,3,1,3,7,182981.7087770841,1,3,203176.59119861032,1993.0,0.0,2.0,440.0,3,3,0.0,157,84,0,0,0,0,0.0,0,4,2010,173907.60378847673,175327.41417910447,175900,17,16,1
20,190810.50749559083,64.0,7980,3,178309.4876472824,177388.57623947616,3,190646.57575757575,183601.24612941642,180228.34979281767,184355.61983471076,178696.39527027027,6,7,1992,2007,170059.83362068966,179915.26421636617,159525.73015873015,160273.85925925925,155030.12570462233,0.0,3,4,226384.9992337165,4,3,0.0,0.0,935.0,0.0,0.0,233.0,1168.0,181204.96805555557,5,0.0,186200.11090365946,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,182981.7087770841,0,0,203176.59119861032,1992.0,0.0,2.0,420.0,3,3,0.0,483,21,0,0,0,0,0.0,500,3,2010,173907.60378847673,175327.41417910447,185000,18,3,1
60,190810.50749559083,63.0,8402,3,178309.4876472824,177388.57623947616,3,190646.57575757575,183601.24612941642,180228.34979281767,184355.61983471076,205820.0909090909,6,5,1998,1998,170059.83362068966,179915.26421636617,217183.18323586744,217126.56354679802,155030.12570462233,0.0,3,3,226384.9992337165,4,3,0.0,0.0,0.0,0.0,0.0,789.0,789.0,181204.96805555557,4,0.0,186200.11090365946,789,676,0,1465,0.0,0.0,2,1,3,1,3,7,182981.7087770841,1,4,203176.59119861032,1998.0,0.0,2.0,393.0,3,3,0.0,0,75,0,0,0,0,0.0,0,5,2010,173907.60378847673,175327.41417910447,180400,12,12,0
20,190810.50749559083,85.0,10176,4,178309.4876472824,177388.57623947616,3,190646.57575757575,183601.24612941642,180228.34979281767,184355.61983471076,178696.39527027027,7,5,1990,1990,170059.83362068966,179915.26421636617,159525.73015873015,160273.85925925925,155030.12570462233,0.0,3,3,226384.9992337165,4,3,0.0,0.0,637.0,0.0,0.0,663.0,1300.0,181204.96805555557,4,0.0,186200.11090365946,1341,0,0,1341,1.0,0.0,1,1,2,1,4,5,182981.7087770841,1,1,203176.59119861032,1990.0,0.0,2.0,506.0,3,3,0.0,192,0,0,0,0,0,0.0,0,2,2010,173907.60378847673,175327.41417910447,171500,20,20,0
